_uid_,origin_id,origin_x,origin_y,parkid,destination_id,destination_x,destination_y
"457","371830501001046",-78.6326427455655,35.781658653383,"26",Davie Street,-78.6243561746092,35.7750472457466
"458","371830501001046",-78.6326427455655,35.781658653383,"42",Oakwood,-78.6241177660321,35.7909297007275
"459","371830501001047",-78.6339258404044,35.7817073255574,"116",Vallie Henderson,-78.6290482219803,35.7845167000402
"460","371830501001047",-78.6339258404044,35.7817073255574,"132",New Bern Place,-78.6354632662129,35.7800577635566
"461","371830501001047",-78.6339258404044,35.7817073255574,"183",John Winters,-78.6313212766575,35.7776123734814
"462","371830501001047",-78.6339258404044,35.7817073255574,"138",Moore Square,-78.6357914989622,35.7775077730582
"463","371830501001047",-78.6339258404044,35.7817073255574,"22",Oakwood Common,-78.63213881696,35.7878610525502
"464","371830501001047",-78.6339258404044,35.7817073255574,"28",Lane Street,-78.6261220920092,35.7831789971439
"465","371830501001047",-78.6339258404044,35.7817073255574,"87",Tarboro Road,-78.6228569611736,35.7813128628773
"466","371830501001047",-78.6339258404044,35.7817073255574,"136",Mordecai Square,-78.6331193844119,35.7928402478639
"467","371830501001047",-78.6339258404044,35.7817073255574,"161",O'Rorke-Catholic Cemetery,-78.6216783622287,35.7829970496351
"468","371830501001047",-78.6339258404044,35.7817073255574,"200",Exchange Plaza,-78.6387214126288,35.7775279153207
"469","371830501001047",-78.6339258404044,35.7817073255574,"184",Patterson Green,-78.6313222107783,35.773350732262
"470","371830501001047",-78.6339258404044,35.7817073255574,"201",Market Plaza,-78.6387365990624,35.777261555425
"471","371830501001047",-78.6339258404044,35.7817073255574,"16",Chavis,-78.6300507419281,35.7702856126247
"472","371830501001047",-78.6339258404044,35.7817073255574,"44",Halifax,-78.6388283924893,35.7935452317092
"473","371830501001047",-78.6339258404044,35.7817073255574,"110",Nash Square,-78.642675328997,35.7777350642707
"474","371830501001048",-78.633973447013,35.7806136245667,"116",Vallie Henderson,-78.6290482219803,35.7845167000402
"475","371830501001048",-78.633973447013,35.7806136245667,"200",Exchange Plaza,-78.6387214126288,35.7775279153207
